Distance Z-score,Earned Score,Maximum Score,Overall Percent,Z-score of 100% Submissions
0.27935667165912154,71,88,0.8068181818181818,-0.5032808010593097
0.08965218819708297,63,105,0.6,0.025943567731376443
0.018495759867378447,36,54,0.6666666666666666,0.36435591045993737
-0.4443842823940899,79,95,0.8315789473684211,-0.22374990616657742
-0.21777567785993432,68,113,0.6017699115044248,-0.3578705039287299
0.6349243988602166,136,145,0.9379310344827586,0.9412373863258388
1.021925206635377,76,145,0.5241379310344828,-0.07789811821370174
-0.26880700353974135,91,124,0.7338709677419355,-0.06736583418696533
-0.429380319339278,112,145,0.7724137931034483,0.0872821635103482
0.7124946375790863,4,4,1.0,0.2905308307349505
-0.12913264575317387,105,105,1.0,0.305778413847154
-0.4006336651588991,34,50,0.68,-0.274336654864623
0.10878263223627173,94,100,0.94,0.7518001916475576
0.9457659271094478,28,67,0.417910447761194,-0.2727272727272727
-0.37849616811314785,95,105,0.9047619047619048,-0.33605604347804113
0.5249381848431193,18,43,0.4186046511627907,0.1327000156550101
0.38091819594410087,182,250,0.728,-0.06346525655081456
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
0.7124946375790863,4,4,1.0,0.2905308307349505
0.2177877174000798,5,9,0.5555555555555556,-0.0769454542443037
-0.31381884943737764,122,140,0.8714285714285714,-0.5787322677041197
-0.28250488169997007,42,52,0.8076923076923077,-0.37837129933250463
-0.29652787742054804,130,145,0.896551724137931,-0.2730150625693189
0.14928818937535274,48,101,0.4752475247524752,-0.08173414123599164
-0.11158469422300797,123,127,0.968503937007874,-0.12625095039297216
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.24172947105652062,111,135,0.8222222222222222,0.0399762360305359
-0.06026065531922093,85,100,0.85,0.2503763857565684
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
-0.12351485130611828,75,105,0.7142857142857143,0.08047664925181945
-0.40641389702850994,39,43,0.9069767441860465,-0.47473152117186224
0.20013737836128376,79,90,0.8777777777777778,0.5051884188517922
0.668182907575866,41,115,0.3565217391304348,-0.7053306732613246
-0.3360317244482039,66,93,0.7096774193548387,-0.6068072924907579
-0.026357080408877853,14,14,1.0,-0.022893556524366976
0.3276535402926495,66,92,0.717391304347826,-0.3512275083275392
-0.018609089707752626,68,94,0.723404255319149,0.24347900519428134
-0.06423851644784215,82,96,0.8541666666666666,-0.10525149440588637
-0.23333808327496752,104,105,0.9904761904761905,0.17893479033535614
0.07912377011734376,71,93,0.7634408602150538,0.4223747171534253
-0.22438900633936124,83,95,0.8736842105263158,0.17793582772074676
-0.12709669192682285,58,75,0.7733333333333333,0.5439970111164432
0.045883729807655066,96,100,0.96,0.6977415145538021
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.2914216729754205,78,140,0.5571428571428572,0.18196968779243355
0.9214361433603391,61,105,0.580952380952381,0.2902401662192508
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.5829571086854277,91,105,0.8666666666666667,-0.566147275234605
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
-0.026357080408877853,10,14,0.7142857142857143,0.2905308307349505
-0.10439724782163244,59,93,0.6344086021505376,-0.11984910062261182
0.6155912030356722,21,37,0.5675675675675675,1.7039618519515036
-0.026357080408877853,6,14,0.42857142857142855,0.2905308307349505
0.0052103097737593584,37,65,0.5692307692307692,-0.48226425307036275
0.11369871036927205,79,95,0.8315789473684211,-0.2999715462837267
0.14388262985066647,80,105,0.7619047619047619,-0.034264586705446104
0.24714916703975665,85,130,0.6538461538461539,-0.0470548736781836
-0.1804493612348602,78,100,0.78,-0.2873493661715232
0.4659113256431488,51,91,0.5604395604395604,1.169003420759672
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.026357080408877853,7,14,0.5,-0.0769454542443037
-0.026357080408877853,14,14,1.0,-0.022893556524366976
0.2025747485947621,128,145,0.8827586206896552,-0.46501719706643724
0.39093113811369523,35,91,0.38461538461538464,-0.9694830354717008
0.3356491558248158,87,94,0.925531914893617,0.266284415244386
-0.2094764475508565,120,135,0.8888888888888888,0.2107440925699426
-0.44320815740337366,11,11,1.0,-0.43793788120769095
-0.25951067195306105,64,94,0.6808510638297872,-0.3916267122768686
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.026357080408877853,11,14,0.7857142857142857,-0.17960575015402572
-0.5234335338000212,99,100,0.99,-0.4313949244120266
-0.056655437737722095,71,93,0.7634408602150538,0.06110674421289026
0.042230939179093485,139,140,0.9928571428571429,-0.21434414520597436
-0.026357080408877853,14,14,1.0,-0.022893556524366976
0.4348284837957889,18,45,0.4,0.0373200374686552
0.06198092460062101,111,128,0.8671875,0.17310047900661585
0.20841836991826418,124,135,0.9185185185185185,0.7579878488370185
-0.40596627877561514,85,121,0.7024793388429752,-0.1413356920578994
-0.12062546594395913,44,62,0.7096774193548387,-0.26505783282264783
-0.553793172345773,74,90,0.8222222222222222,-0.4350217750527869
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
-0.14534705752990285,109,140,0.7785714285714286,-0.30728109308229246
-0.1981490494562196,79,135,0.5851851851851851,0.061458834125866946
-0.10104292086060908,69,83,0.8313253012048193,-0.052897406371358015
-0.21080271341199153,23,37,0.6216216216216216,0.0564485070697739
0.1478799072044998,31,47,0.6595744680851063,0.9651391746724296
0.6162953588413339,51,87,0.5862068965517241,1.4015097984492457
-0.08713483312939659,68,96,0.7083333333333334,0.36100586207238883
-0.06935468614217412,51,103,0.49514563106796117,-0.3451838390653319
-0.35502668343530636,74,93,0.7956989247311828,-0.4134100646207929
-0.20428403802474993,72,88,0.8181818181818182,0.07967120474090025
0.27159504520283007,34,57,0.5964912280701754,-0.9778465560476336
0.11826531652811965,65,95,0.6842105263157895,0.251326969015047
-0.026357080408877853,9,14,0.6428571428571429,0.0041323923356013925
-0.04978750467861618,15,33,0.45454545454545453,0.4675566958337144
-0.3195133310334855,112,145,0.7724137931034483,0.4897024022120124
-0.33979002588268686,84,99,0.8484848484848485,-0.1482518779740605
-0.2871401533379668,23,41,0.5609756097560976,-0.0574316805097028
1.2502756255242542,44,89,0.4943820224719101,1.486325274396957
-0.026357080408877853,14,14,1.0,-0.022893556524366976
0.8210911322882972,46,90,0.5111111111111111,0.22082329000789339
0.09285524670798405,164,204,0.803921568627451,0.15906327835506306
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
0.05964520212519073,53,73,0.726027397260274,-0.44391244052996887
-0.026357080408877853,14,14,1.0,-0.022893556524366976
0.3159606443776282,73,98,0.7448979591836735,-0.2774709100137566
-0.40537862778244593,78,98,0.7959183673469388,-0.36531469136341466
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.034449013933480266,45,77,0.5844155844155844,-0.7165437505912224
0.013349017331322217,64,105,0.6095238095238096,0.049400988641865706
0.39690064778970724,136,145,0.9379310344827586,1.0306373968126967
-0.28687657207974615,84,93,0.9032258064516129,0.4317391592711878
-0.3957829394028599,10,10,1.0,-0.17960575015402572
-0.026357080408877853,10,14,0.7142857142857143,-0.17960575015402572
0.09233497990024479,108,122,0.8852459016393442,0.2599613852339274
-0.026357080408877853,10,14,0.7142857142857143,-0.0769454542443037
-0.33428893120706804,99,135,0.7333333333333333,-0.25038216246871564
-0.5218958485644861,101,105,0.9619047619047619,-0.5308872318171457
-0.28025619269788393,9,12,0.75,2.7263512194536546
-0.5906784471013788,76,89,0.8539325842696629,-0.29856594739159564
0.10023041856177098,89,115,0.7739130434782608,-0.015360090142231143
-0.40267233908892236,95,105,0.9047619047619048,0.20730431722980147
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.06217876623296708,73,94,0.776595744680851,-0.3919513223985816
-0.3582134694268279,29,32,0.90625,-0.4868349452322247
0.8891867290408217,20,34,0.5882352941176471,0.7803140991629188
1.020275082014334,15,45,0.3333333333333333,0.5404296212781878
-0.026357080408877853,13,14,0.9285714285714286,0.1067926882453234
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.026357080408877853,13,14,0.9285714285714286,0.1067926882453234
-0.2916944421547662,64,89,0.7191011235955056,-0.6759848539502055
-0.32736703638547676,120,140,0.8571428571428571,-0.48436953302430724
-0.02240420063249843,64,116,0.5517241379310345,-0.07941998000503998
-0.39389256121574695,101,105,0.9619047619047619,0.0600589347733183
0.2863406058764207,81,120,0.675,0.08467750268942728
0.19013172431702272,70,123,0.5691056910569106,-0.7272770361963903
-0.3659303035063013,103,105,0.9809523809523809,-0.21850302389168322
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.4294702367216866,95,105,0.9047619047619048,-0.333040101399587
-0.07948441763258277,90,125,0.72,-0.14626181559168538
-0.026357080408877853,9,14,0.6428571428571429,-0.0769454542443037
-0.168708075210543,81,95,0.8526315789473684,0.24722878173219412
-0.030514234328131835,69,99,0.696969696969697,0.3856524861243337
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.060475672501828205,72,82,0.8780487804878049,-0.02913273805883231
-0.026357080408877853,13,14,0.9285714285714286,0.0041323923356013925
0.13308002497858867,110,140,0.7857142857142857,0.23089331513889322
-0.5087779585551783,80,99,0.8080808080808081,-0.5033284869914574
-0.2300701661039058,100,105,0.9523809523809523,-0.2134664969309843
-0.264207334376793,77,133,0.5789473684210527,-0.049343966902076014
